codigo,sigla,nome,ativa,tipo,apelido,casa,dataCriacao,dataExtincao,dataInstalacao,finalidade,historia,participacao,composicao,atualizadoEm
2392,CICCX,Comenda de Incentivo à Caridade Chico Xavier,true,orgaos,,SF,2020-11-04,,,"É instituída a Comenda de Incentivo à Caridade Chico Xavier, destinada a agraciar pessoas ou instituições que desenvolvam, no Brasil, ações e atividades relacionadas à caridade e à filantropia.",,,[object Object],2025-05-10T23:59:10.381Z
2192,CICLCC,Comenda de Incentivo à Cultura Luís da Câmara Cascudo,true,orgaos,,SF,2018-05-29,,,"A Comenda de Incentivo à Cultura Luís da Câmara Cascudo é destinada a agraciar personalidades, instituições e grupos que tenham oferecido contribuição relevante ao registro e ao fortalecimento da cultura, do folclore e dos saberes tradicionais no Brasil.",,,[object Object],2025-05-10T23:59:10.381Z
2598,CMDG,Comenda Missionários Daniel Berg e Gunnar Vingren,true,orgaos,,SF,2023-03-30,,,"Institui, no âmbito do Senado Federal, a Comenda Missionários Daniel Berg e Gunnar Vingren, destinada a homenagear pessoas físicas ou jurídicas que tenham desempenhado relevantes ações religiosas e sociais, com destaque na área da filantropia.",,,[object Object],2025-05-10T23:59:10.381Z
1944,CME,Conselho da Comenda do Mérito Esportivo,true,orgaos,,SF,2015-06-30,,,A Comenda do Mérito Esportivo é entregue pelo Senado Federal em sessão especial destinada a agraciar atletas brasileiros que tenham se destacado em competições esportivas de modalidades olímpicas e paraolímpicas.,,,[object Object],2025-05-10T23:59:10.381Z
2163,CMFC,Comenda do Mérito Futebolístico Associação Chapecoense de Futebol,true,orgaos,,SF,2017-12-11,,,"Agraciar pessoas jurídicas e atletas, dirigentes e demais profissionais que tenham se destacado em competições esportivas ou na promoção do futebol.",,,[object Object],2025-05-10T23:59:10.381Z
2090,CNMS,Comenda Nise Magalhães da Silveira,true,orgaos,,SF,2016-12-20,,,A Comenda Nise Magalhães da Silveira é conferida a personalidade que tenham oferecido contribuição relevante ao desenvolvimento de técnicas e condições de tratamento humanizado da saúde no Brasil.,,,[object Object],2025-05-10T23:59:10.381Z
2599,CRP,Comenda Rei Pelé,true,orgaos,,SF,2023-04-13,,,A Comenda Rei Pelé é destinada a homenagear esportistas e paraesportistas de destaque no País.,,,[object Object],2025-05-10T23:59:10.381Z
1750,CSAN,Conselho da Comenda Senador Abdias Nascimento,true,orgaos,,SF,2013-11-22,,,A Comenda Senador Abdias Nascimento é entregue pelo Senado Federal a personalidades que contribuíram para a proteção e a promoção da cultura afro-brasileira.,,,[object Object],2025-05-10T23:59:10.381Z
2427,CSDP,Comenda Santa Dulce dos Pobres,true,orgaos,,SF,2020-12-21,,,"É instituída, no âmbito do Senado Federal, a Comenda Santa Dulce dos Pobres, destinada a homenagear pessoas físicas ou jurídicas que tenham prestado relevantes serviços na área social da saúde.",,,[object Object],2025-05-10T23:59:10.381Z
2708,CSZP,Conselho do Selo Zumbi dos Palmares,true,orgaos,,SF,2021-11-26,,,O Selo Zumbi dos Palmares é destinado a agraciar Municípios que se destacarem na execução de políticas públicas de promoção da igualdade racial.,,,[object Object],2025-05-10T23:59:10.381Z
2145,CZA,Comenda Zilda Arns,true,orgaos,,SF,2017-10-26,,,"A Comenda Zilda Arns foi instituída para agraciar pessoas ou instituições que desenvolvam, no Brasil, ações e atividades destinadas à proteção da criança e do adolescente.",,,[object Object],2025-05-10T23:59:10.381Z
1530,DJEM,Conselho do Diploma José Ermírio de Moraes,true,orgaos,,SF,2009-10-31,,,,,,[object Object],2025-05-10T23:59:10.381Z
2551,MMEDR,Medalha de Mérito Educacional Darcy Ribeiro,true,orgaos,,SF,2022-06-30,,,"O prêmio tem por objetivo valorizar os educadores e promover a divulgação de melhores práticas na educação nacional, destacando anualmente um educador por Estado e Distrito Federal.",,,[object Object],2025-05-10T23:59:10.381Z
2564,MMQ,Medalha Maria Quitéria,true,orgaos,,SF,2022-11-16,,,Medalha destinada a celebrar o Bicentenário da Independência do Brasil e a homenagear mulheres que se destacaram na luta pela equidade de gênero.,,,[object Object],2025-05-10T23:59:10.381Z
