codigo,nome,partido,uf,cargo,tipoLideranca,nomeLideranca,siglaLideranca
6250,AJ Albuquerque,PP,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
5851,Flávio Nogueira,PT,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
5238,Erika Kokay,PT,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
5313,Pedro Paulo,PSD,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
853,Arlindo Chinaglia,PT,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
4320,André Figueiredo,PDT,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
6103,Gervásio Maia,PSB,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
3727,Maria do Rosário,PT,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
6229,Adriana Ventura,NOVO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6079,Caroline de Toni,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6163,Carlos Jordy,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6165,Chris Tonietto,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6084,Bia Kicis,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6449,Zé Trovão,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
5745,Joaquim Passarinho,PL,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
6413,Rodrigo Valadares,UNIÃO,,[object Object],Vice-líder da Câmara dos Deputados,Liderança da Minoria na Câmara dos Deputados,M
